umn_plantID,common_name,scientific_name,height,spread,form,seasonal_interest,seasonal_interest_specific,flower_color,landscape_use,light,zone,soil,notes
804,Abbotswood Potentilla,Potentilla fruticosa,4 ft,4 ft,Rounded,Fall;      Summer,Large white flowers from early spring to late fall.,White,Foundation planting;      Hedge;      Pollinator garden,Full sun,"2, 3, 4, 5, 6, 7",Adaptable,Good for pollinators.
2064,Abiqua Drinking Gourd Hosta,Hosta,16 in,36 in,Mound,Early summer;      Late summer;      Mid-summer,Dark blue-green seersuckered leaves with cupped form; white flowers,White,Border;      Boulevard planting,Part sun,"3, 4, 5, 6, 7, 8, 9", , 
309,Abundance Clematis,Clematis viticella,12 ft,3 ft,Climbing;     Twining,Summer;     Fall, ,Red,Focal point;      Fragrance;      Screen,Full sun;      Part sun,"2, 3, 4, 5, 6, 7, 8, 9",Prefers well-drained;     Prefers evenly-moist;     Prefers high organic matter,"Flowers are 2-3"" rose-wine with yellow anthers  semi-campanulate  free flowering."
1239,Accolade¨ Elm,Ulmus japonica x wilsoniana,70 ft,50 ft,Upright; Vase-like, ,Golden yellow fall foliage, ,Shade tree; Street tree,Full sun,"4, 5, 6, 7", ,Selected and introduced by Morton Arboretum and Chicagoland Grows. Excellent Dutch elm disease resistance. Form resembles the American Elm.
683,Acrocona Spruce,Picea abies,8 ft,4 ft, , ,Immature purple cones form at branch tips in spring. Mature cones are large and persist on tree year round., , ,Full sun,"3, 4, 5, 6, 7", ,Slow growing evergreen. Horizontal branches with drooping twigs.
1052,Adams American Elder,Sambucus canadensis,9 ft,12 ft,Rounded, ,Summer white flowers followed by clusters of blue-black edible fruit., ,Attract wildlife; Border; Natural planting; Pollinator garden,Full sun,3,Adaptable,Excellent for pies  jam and elderberry wine. A clone of S. canadensis selected for its large fruit by William W. Adams of Union Springs. Good for pollinators.
635,Adams Crabapple,Malus,25 ft,20 ft,Upright,Fall;      Spring;      Winter,Carmine buds open to single pink blooms in spring; new foliage is green with red tint. Fall fruit is orange-red;  abundant;  persistent through winter.,Pink,Boulevard planting;      Pollinator garden,Full sun,"4, 5, 6, 7, 8",Prefers acidic;      Prefers well-drained,Introduced by the U.S. National Arboretum.  Requires little pruning. Good for pollinators. Blooms on old wood.
2814,Adam's Needle Yucca,Yucca filamentosa,60 in,36 in,Mound,Late summer;      Mid-summer,Sword-like foliage and bell-shaped creamy-white flowers on tall spikes,White,Border;      Boulevard planting,Full sun;      Part sun,"4, 5, 6, 7, 8", , 
996,Adelaide Hoodless Rose,Rosa,6 ft,6 ft,Upright,Summer;     Fall;     Winter,Glossy foliage. Dark red buds open into bright red to deep reddish-pink blossoms in clusters of up to 35. Blooms abundantly from early summer until frost \followed by small orange hips., ,Pollinator garden;     Fragrance,Full sun,"3, 4, 5, 6, 7",Prefers well-drained;     Prefers evenly-moist;     Prefers high organic matter,A Parkland rose. Good for pollinators.
638,Adirondack Crabapple,Malus,18 ft,14 ft,Upright, ,Fragrant white flowers emerge early spring and give way to orange-red fruit which persists into fall.,White,Boulevard planting; Pollinator garden,Full sun,"4, 5, 6, 7, 8",Prefers acidic; Prefers well-drained,Good for pollinators. Blooms on old wood.
